Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
57990ccc-1fc5-41b0-bc71-8b28ddf0d1b0,2017-08-05 17:14:00,Running,,18.60,1:44:22,5:37,10.69,1398.0,295,142,"","",2017-08-05-171400.gpx
f116bf61-c409-448a-b80d-35de131c5afd,2017-08-01 18:39:42,Running,,8.40,42:50,5:06,11.77,589.0,83,156,"","TomTom MySports Watch",2017-08-01-183942.gpx
13415fa0-b417-4681-969c-bcc5bc62882b,2017-07-30 17:24:23,Running,,18.58,1:45:15,5:40,10.59,1312.0,307,145,"","TomTom MySports Watch",2017-07-30-172423.gpx
a93a029b-ba9f-46c3-acb5-1bfbb75257b2,2017-07-23 17:14:16,Running,,18.71,1:39:26,5:19,11.29,1308.0,298,144,"","TomTom MySports Watch",2017-07-23-171416.gpx
ebe894be-7567-4b56-91ab-164554e20357,2017-07-19 18:50:31,Running,,12.80,1:08:04,5:19,11.28,891.0,170,143,"","TomTom MySports Watch",2017-07-19-185031.gpx
20b3b267-b9a2-4c64-89a3-3ba0463b582c,2017-07-16 10:34:21,Running,,18.54,1:44:22,5:38,10.66,1302.0,295,142,"","TomTom MySports Watch",2017-07-16-103421.gpx
8087a508-a36b-4bbd-bca3-cb458f855e9c,2017-07-10 18:26:02,Running,,12.60,1:04:42,5:08,11.68,880.0,124,155,"","TomTom MySports Watch",2017-07-10-182602.gpx
ad867d0a-2a2b-4358-9a7a-65c2e098e8e6,2017-07-08 16:26:43,Running,,23.59,2:13:08,5:39,10.63,1668.0,390,143,"","TomTom MySports Watch",2017-07-08-162643.gpx
2301d707-d4e3-461d-b6af-5ffff1b77dbf,2017-07-05 18:53:40,Running,,12.78,1:07:52,5:19,11.30,875.0,173,140,"","TomTom MySports Watch",2017-07-05-185340.gpx
67d8bff0-657c-46ce-aa3a-4c6533e2f883,2017-07-02 18:34:53,Running,,10.25,58:05,5:40,10.59,714.0,130,138,"","TomTom MySports Watch",2017-07-02-183453.gpx
f6e2f233-cf73-4d68-9938-52231df7c56a,2017-07-02 17:15:47,Running,,13.39,1:16:21,5:42,10.52,938.0,248,136,"","TomTom MySports Watch",2017-07-02-171547.gpx
242d25a7-3f50-4e56-a351-59cbcf3f25fc,2017-06-28 18:24:55,Running,,12.70,1:07:16,5:18,11.33,883.0,171,147,"","TomTom MySports Watch",2017-06-28-182455.gpx
7b4de242-4cb7-4962-8ec3-c0cbc71fb9b7,2017-06-25 15:57:36,Running,,21.27,2:04:36,5:51,10.24,1518.0,340,145,"","TomTom MySports Watch",2017-06-25-155736.gpx
1a03076f-c730-4d45-8415-b0fe189cc672,2017-06-21 18:42:29,Running,,12.72,1:09:23,5:27,11.00,885.0,175,139,"","TomTom MySports Watch",2017-06-21-184229.gpx
